category,subcategory,name,price,veg_status,tags,description,restaurant_name
Unknown Category,,Chicken Popcorn - Medium,179.05,Non-Veg,BESTSELLER,"Signature bite-sized boneless chicken, with special spices in Medium Size",KFC
Unknown Category,,Chicken Popcorn - Regular,115.24,Non-Veg,,"Signature bite-sized boneless chicken, with special spices",KFC
Unknown Category,,Smoky Red Grilled Chicken - 5 pc,539.05,Non-Veg,BESTSELLER,Save Rs. 85 on 5pc Smoky red grilled chicken [serves 2],KFC
Unknown Category,,5 Pc Smoky Chicken Mojito Combo,627.66,Non-Veg,,Get All New Mojito Reusable Bottle with 5 Pc Smoky Red Grilled Chicken,KFC
Unknown Category,,Smoky Red Grilled Chicken - 2 pc,248.57,Non-Veg,,"Spicy, red, grilled chicken",KFC
Unknown Category,,Smoky Red Grilled Chicken - 1 pc,124.76,Non-Veg,,"Spicy, red, grilled chicken",KFC
Unknown Category,,Peri Peri chicken strips - 3 pc,179.05,Non-Veg,,3 Pieces Spicy Peri Peri chicken boneless strips,KFC
Unknown Category,,2 pc Veg Patty,155.24,Veg,,"Delicious, crispy, veg add-on",KFC
Unknown Category,,Spicy Mix French Fries - Large,139.05,Veg,,Crispy french fries with a spicy chilli lime sprinkle,KFC
Unknown Category,,French Fries - Large,119.05,Veg,,Jazz up your meal with crispy large fries!,KFC
Unknown Category,,Spicy Mix French Fries - Medium,114.29,Veg,,Crispy french fries with a spicy chilli lime sprinkle,KFC
Unknown Category,,French Fries - Medium,99.05,Veg,,Jazz up your meal with crispy french fries,KFC
Unknown Category,,Pack of 4 Dips -20gm each,109.52,Veg,,Adding dips is always a good idea! (Save Rs. 5),KFC
Unknown Category,,Pack of 2 Dips-20gm each,57.14,Veg,,Adding dips is always a good idea!,KFC
Unknown Category,,Tandoori Flavour Dip - 20 gm,28.57,Veg,,"Special tandoori flavored dip, to add a twist to your meal!",KFC
Unknown Category,,Chocolate Lava Cake,108.57,Veg,,New Soft Chocolate cake with a gooey center- perfect chocolaty end to every meal,KFC
Unknown Category,,Cold Coffee Resuable Bottle,199.0,Veg,,Classic coffee just the way you like it,KFC
Unknown Category,,Virgin Mojito Reusable Bottle,105.0,Veg,,A refreshing drink with lime and soda to beat the heat,KFC
Unknown Category,,Masala Pepsi Reusable Bottle,105.0,Veg,,A spicy kick to everyone's favourite drink,KFC
Unknown Category,,Dew Mojito Reusable Bottle,105.0,Veg,,"A refreshing drink with Mountain Dew, lime and soda to beat the heat",KFC
Unknown Category,,Pepsi Reusable Bottle,99.0,Veg,"Not on Pro, Not eligible for coupons",Pepsi in a KFC reusable bottle,KFC
Unknown Category,,7Up Resuable Bottle,99.0,Veg,"Not on Pro, Not eligible for coupons",7Up in a KFC reusable bottle,KFC
Unknown Category,,Mirinda Reusable Bottle,99.0,Veg,"Not on Pro, Not eligible for coupons",Mirinda in a KFC reusable bottle,KFC
Unknown Category,,Mountain Dew Resuable Bottle,99.0,Veg,"Not on Pro, Not eligible for coupons",Mountain Dew in a KFC reusable bottle,KFC
Unknown Category,,Choco Lava Cake,108.57,Veg,,Chocolate lovers unite! Say hello to our chocolate & cake dessert- a must try!,KFC
Unknown Category,,Choco Mud Pie,128.57,Veg,,"Chocolate lovers unite! Say hello to our delicious, new, creamy chocolate & cake dessert- a must try!",KFC
Unknown Category,,Mousse Cake (Coffee flavoured,128.57,Veg,,"Coffee, chocolate, cake?what's not to love? Enjoy our delicious, new dessert for those coffee-licious temptations!",KFC
Unknown Category,,Pepsi PET 475ml,57.14,Veg,"Not on Pro, Not eligible for coupons",Cheers to fizz that makes you Rise Up Baby! Order Pepsi to make your food rise up to your level of awesome!,KFC
Unknown Category,,Pepsi Can 300 ml,57.14,Veg,"Not on Pro, Not eligible for coupons",Cheers to fizz that makes you Rise Up Baby! Order Pepsi to make your food rise up to your level of awesome!,KFC
Unknown Category,,7UP Can 300 ml,57.14,Veg,"Not on Pro, Not eligible for coupons",7UP is the ultimate Super-Duper Refresher. Every sip of this crisp lemon flavour refreshes you to the core.,KFC
Unknown Category,,Pepsi Black Can 300 ml,57.14,Veg,"Not on Pro, Not eligible for coupons",Enjoy Pepsi Black to make your food rise up to max levels of awesome with Zero sugar and Zero guilt!,KFC
Unknown Category,,Mirinda Can 300 ml,57.14,Veg,"Not on Pro, Not eligible for coupons","Great orange taste and sparking bubbles encourage you to be carefree, spontaneous and playful!",KFC
Unknown Category,,Pepsi 475ml Pet,57.14,Veg,"Not on Pro, Not eligible for coupons",0,KFC
